Price,Model Year,Engine Type,Engine Capacity,Assembly,Body Type,Transmission Type,Registration Status,Car Name
1550000,2011,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
260000,1992,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
920000,2012,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
1050000,2006,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
2400000,2016,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1490000,2011,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
3475000,2015,Petrol,1800,Imported,Sedan,Automatic,Registered,Toyota Prius
3250000,2016,Petrol,1500,Local,Sedan,Automatic,Registered,Honda Civic
825000,1996,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
470000,2012,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1450000,2016,Petrol,660,Imported,Hatchback,Automatic,Registered,Suzuki Wagon
1775000,2016,Petrol,660,Imported,Hatchback,Automatic,Un-Registered,Suzuki Wagon
3500000,2007,Petrol,1800,Imported,Sedan,Automatic,Registered,Mercedes Benz
1700000,2013,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
2650000,2019,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
550000,2007,Petrol,800,Local,Hatchback,Manual,Registered,Daihatsu Cuore
450000,1995,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Khyber
2250000,2015,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
4750000,2017,Hybrid,1800,Imported,Sedan,Automatic,Un-Registered,Toyota Prius
3450000,2018,Petrol,1800,Imported,Sedan,Automatic,Registered,Honda Civic
2700000,2019,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
1580000,2018,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
430000,2005,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2975000,2016,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
2400000,2013,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
1230000,2008,Petrol,1300,Local,Sedan,Automatic,Registered,Honda City
2750000,2018,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1900000,2012,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
560000,2007,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
890000,2018,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1950000,2019,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
1220000,2019,Petrol,660,Local,Hatchback,Manual,Registered,Suzuki Alto
550000,2006,Petrol,800,Local,Hatchback,Manual,Registered,Daihatsu Cuore
400000,2006,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2650000,2016,Petrol,1500,Imported,Hatchback,Automatic,Un-Registered,Toyota Aqua
885000,2012,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
965000,2019,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2300000,2016,Petrol,1300,Local,Sedan,Automatic,Registered,Honda City
12200000,2013,Petrol,2700,Imported,SUV,Automatic,Registered,Toyota Prado
1450000,2012,Petrol,1300,Local,Hatchback,Manual,Registered,Suzuki Swift
650000,2007,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
1825000,2013,Petrol,1500,Local,Sedan,Manual,Registered,Honda City
780000,2015,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2700000,2015,Petrol,1500,Imported,Hatchback,Automatic,Registered,Toyota Aqua
2050000,2015,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
560000,2010,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
450000,2006,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
550000,2009,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1475000,2014,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
2790000,2018,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
1000000,2000,Petrol,1600,Local,Sedan,Automatic,Registered,Toyota Corolla
660000,2007,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
7800000,2006,Petrol,3500,Imported,Sedan,Automatic,Registered,Mercedes Benz
1700000,2015,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
2190000,2018,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
1200000,2008,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
5700000,2018,Hybrid,1500,Imported,Cross Over,Automatic,Un-Registered,Honda Vezel
1750000,2007,Diesel,2000,Local,Sedan,Manual,Registered,Toyota Corolla
800000,1994,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
2395000,2013,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
3575000,2018,Petrol,1800,Local,Sedan,Automatic,Registered,Toyota Corolla
530000,2007,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
490000,2007,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1725000,2018,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
1725000,2011,Petrol,1300,Local,Sedan,Manual,Registered,Honda City
2665000,2019,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
2275000,2013,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
700000,2010,Petrol,800,Local,Hatchback,Manual,Registered,Daihatsu Cuore
640000,2012,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
440000,2008,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2500000,2013,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
665000,2009,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Alto
1750000,2011,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
339000,2005,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
3600000,2018,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
860000,2013,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
780000,2009,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
605000,1995,Petrol,1500,Local,Sedan,Manual,Registered,Honda Civic
3200000,2014,Petrol,1800,Imported,Sedan,Automatic,Un-Registered,Toyota Prius
1180000,2006,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1150000,2010,Petrol,1300,Imported,Hatchback,Manual,Registered,Suzuki Swift
3900000,2017,Petrol,1500,Imported,Sedan,Automatic,Un-Registered,Toyota Corolla
655000,2015,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1095000,2006,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
1595000,2019,Petrol,660,Local,Hatchback,Automatic,Registered,Suzuki Alto
1630000,2011,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
580000,2011,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2150000,2019,Petrol,1300,Local,Hatchback,Automatic,Registered,Suzuki Swift
1900000,2013,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
1005000,2018,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
500000,2014,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1985000,2018,Petrol,1000,Imported,Hatchback,Automatic,Un-Registered,Toyota Passo
2895000,2019,Petrol,1300,Imported,Sedan,Manual,Registered,Toyota Corolla
1545000,2014,Petrol,1300,Local,Hatchback,Automatic,Registered,Suzuki Swift
440000,2007,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
550000,2009,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1650000,2014,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
499000,2012,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1375000,2015,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
1950000,2016,Petrol,1500,Local,Sedan,Manual,Registered,Honda City
1190000,2015,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
1150000,2007,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1650000,2014,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1530000,2018,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
2385000,2011,Petrol,1800,Imported,Sedan,Automatic,Registered,Toyota Prius
5800000,2005,Petrol,2700,Imported,SUV,Automatic,Registered,Toyota Prado
2400000,2016,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
630000,2006,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
495000,2012,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2400000,2014,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
2400000,2014,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
840000,2017,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
770000,2016,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1640000,2019,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
2200000,2015,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
2500000,2018,Petrol,1500,Imported,Sedan,Automatic,Registered,Honda City
3600000,2018,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
1400000,2016,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
1300000,2009,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1550000,2018,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
1000000,2019,Petrol,800,Local,Hatchback,Manual,Un-Registered,Suzuki Mehran
2750000,2017,Petrol,1600,Local,Sedan,Automatic,Registered,Toyota Corolla
1295000,2008,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
620000,2007,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
1420000,2006,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
1255000,2019,Petrol,660,Local,Hatchback,Manual,Registered,Suzuki Alto
790000,1996,Petrol,1600,Local,Sedan,Automatic,Registered,Toyota Corolla
550000,2006,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
3100000,2018,Petrol,1600,Local,Sedan,Automatic,Registered,Toyota Corolla
520000,2011,Petrol,800,Local,Hatchback,Manual,Registered,Daihatsu Cuore
2965000,2014,Petrol,1500,Imported,Cross Over,Automatic,Registered,Honda Vezel
1300000,2005,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
2580000,2014,Petrol,1500,Imported,Hatchback,Automatic,Registered,Toyota Aqua
1700000,1992,Diesel,2800,Imported,SUV,Automatic,Registered,Toyota Prado
1900000,2015,Petrol,1500,Local,Sedan,Manual,Registered,Honda City
1925000,2018,Petrol,1000,Local,Hatchback,Automatic,Registered,Suzuki Cultus
3250000,2016,Petrol,1500,Local,Sedan,Automatic,Registered,Honda Civic
1620000,2016,Petrol,660,Imported,Hatchback,Automatic,Un-Registered,Suzuki Wagon
1575000,2016,Petrol,660,Imported,Hatchback,Automatic,Un-Registered,Suzuki Wagon
485000,2005,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
2300000,2016,Petrol,1000,Imported,Hatchback,Automatic,Un-Registered,Toyota Passo
1375000,2017,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
590000,2005,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Alto
1800000,2012,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1525000,2012,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
2300000,2014,Petrol,1800,Local,Sedan,Automatic,Registered,Honda Civic
2250000,2007,Petrol,1500,Imported,Sedan,Automatic,Registered,Toyota Corolla
900000,2003,Petrol,1600,Local,Sedan,Manual,Registered,Honda Civic
1690000,2013,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
900000,2018,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2150000,2015,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
2400000,2018,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
2500000,2017,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
1220000,2003,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
2300000,2015,Petrol,1000,Imported,Hatchback,Automatic,Un-Registered,Toyota Vitz
2650000,2018,Petrol,1500,Local,Sedan,Automatic,Registered,Honda City
945000,2014,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
950000,2003,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
2150000,2016,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
2325000,2018,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
240000,1997,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
865000,2016,Petrol,800,Local,Van,Manual,Registered,Suzuki Bolan
1200000,2015,Petrol,660,Imported,Hatchback,Automatic,Registered,Suzuki Alto
670000,2015,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1425000,2018,Petrol,660,Imported,Hatchback,Automatic,Registered,Suzuki Alto
335000,2005,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
660000,2013,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
840000,2011,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Alto
1750000,2007,Petrol,1500,Imported,Sedan,Automatic,Registered,Toyota Corolla
300000,1992,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
1220000,2014,Petrol,660,Imported,Hatchback,Automatic,Registered,Suzuki Alto
1175000,2019,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
650000,2013,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2200000,2014,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
12000000,2011,Petrol,2700,Imported,SUV,Automatic,Registered,Toyota Prado
10500000,2012,Petrol,2700,Imported,SUV,Automatic,Un-Registered,Toyota Prado
2150000,1992,Diesel,4200,Imported,SUV,Manual,Registered,Toyota Land
2495000,2014,Petrol,1500,Imported,Sedan,Automatic,Registered,Toyota Corolla
1500000,2014,Petrol,1300,Local,Hatchback,Automatic,Registered,Suzuki Swift
700000,2016,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
430000,2006,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
460000,2006,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Alto
2825000,2016,Petrol,1800,Local,Sedan,Automatic,Registered,Toyota Corolla
680000,2009,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Alto
1370000,2014,Petrol,660,Imported,Hatchback,Automatic,Registered,Suzuki Wagon
1330000,2014,Petrol,1300,Local,Hatchback,Manual,Registered,Suzuki Swift
2500000,2015,Petrol,1800,Local,Sedan,Automatic,Registered,Toyota Corolla
1275000,2009,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1360000,2009,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1450000,2018,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
760000,2015,Petrol,800,Local,Hatchback,Manual,Registered,Suzuki Mehran
2180000,2015,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
2865000,2019,Petrol,1300,Local,Sedan,Automatic,Registered,Toyota Corolla
580000,2008,Petrol,800,Local,Mini Van,Manual,Registered,Suzuki Bolan
2525000,2015,Petrol,1500,Imported,Hatchback,Automatic,Registered,Toyota Aqua
585000,2006,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
1425000,2009,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1975000,2012,Petrol,1500,Imported,Hatchback,Automatic,Registered,Toyota Aqua
3595000,2014,Hybrid,1800,Imported,Sedan,Automatic,Registered,Toyota Prius
1500000,2011,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
1150000,2006,Petrol,1800,Local,Sedan,Manual,Registered,Honda Civic
750000,2010,Petrol,800,Local,Hatchback,Manual,Registered,Daihatsu Cuore
2075000,2016,Petrol,1300,Local,Sedan,Automatic,Registered,Honda City
1455000,2017,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
2675000,2016,Petrol,1600,Local,Sedan,Automatic,Registered,Toyota Corolla
1640000,2019,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Wagon
1665000,2017,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Cultus
950000,2006,Petrol,1300,Local,Sedan,Manual,Registered,Toyota Corolla
2900000,2016,Petrol,1500,Imported,Hatchback,Automatic,Un-Registered,Toyota Aqua
2200000,1997,Diesel,3000,Imported,SUV,Automatic,Registered,Toyota Prado
540000,2007,Petrol,1000,Local,Hatchback,Manual,Registered,Suzuki Alto
1500000,2010,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
1380000,2009,Petrol,1000,Imported,Hatchback,Automatic,Registered,Toyota Vitz
1340000,2019,Petrol,660,Local,Hatchback,Manual,Un-Registered,Suzuki Alto
1800000,2007,Petrol,1500,Imported,Sedan,Automatic,Registered,Toyota Corolla
